#,Citation (F.S.),Type,Governs / what to confirm,Appears in documents,Pre-verified,Live statute confirmed (Y/N),Reviewer initials,Date checked,Notes
44,§ 709.2104,Florida Statute,,POA,,,,,
45,§ 709.2105,Florida Statute,"Durable POA execution — 2 witnesses AND notary, both mandatory, witnesses ≠ notary. VERIFIED ✓","HIPAA, POA",YES,,,,
46,§ 709.2108,Florida Statute,,POA,,,,,
47,§ 709.2109,Florida Statute,,POA,,,,,
48,§ 709.2110,Florida Statute,,POA,,,,,
49,§ 709.2111,Florida Statute,,POA,,,,,
50,§ 709.2114,Florida Statute,,POA,,,,,
51,§ 709.2115,Florida Statute,,POA,,,,,
52,§ 709.2116,Florida Statute,,POA,,,,,
53,§ 709.2119,Florida Statute,,POA,,,,,
54,§ 709.2120,Florida Statute,,POA,,,,,
55,§ 709.2202,Florida Statute,POA enhanced/superpowers — must be separately signed/initialed. VERIFIED ✓,POA,YES,,,,
56,§ 709.2204,Florida Statute,,POA,,,,,
57,§ 709.2208,Florida Statute,,POA,,,,,
58,§ 709.2209,Florida Statute,,POA,,,,,
59,§ 709.2210,Florida Statute,,POA,,,,,
60,§ 709.2211,Florida Statute,,POA,,,,,
61,§ 709.2212,Florida Statute,,POA,,,,,
62,§ 709.2213,Florida Statute,,POA,,,,,
63,§ 709.2214,Florida Statute,,POA,,,,,
64,§ 709.2215,Florida Statute,,POA,,,,,
65,§ 726.110,Florida Statute,,HIPAA,,,,,
66,§ 732.101,Florida Statute,,(header),,,,,
67,§ 732.102,Florida Statute,,"(header), HIPAA",,,,,
68,§ 732.104,Florida Statute,,"(header), Will",,,,,
69,§ 732.201,Florida Statute,,"HIPAA, Will",,,,,
70,§ 732.2035,Florida Statute,,HIPAA,,,,,
71,§ 732.2045,Florida Statute,,(header),,,,,
72,§ 732.2065,Florida Statute,,Will,,,,,
73,§ 732.2115,Florida Statute,,Will,,,,,
74,§ 732.2135,Florida Statute,,"HIPAA, Will",,,,,
75,§ 732.301,Florida Statute,,"(header), HIPAA, Will",,,,,
76,§ 732.302,Florida Statute,,"(header), HIPAA, Will",,,,,
77,§ 732.401,Florida Statute,,"(header), HIPAA, Medicaid (MAPT), Will",,,,,
78,§ 732.4015,Florida Statute,,"(header), Lady Bird Deed",,,,,
79,§ 732.402,Florida Statute,,"HIPAA, Will",,,,,
80,§ 732.403,Florida Statute,,"HIPAA, Will",,,,,
81,§ 732.501,Florida Statute,,(header),,,,,
82,§ 732.502,Florida Statute,Will execution — testator + 2 witnesses signing in each other’s presence (notary only for self-proof). VERIFIED ✓,"(header), Codicil, HIPAA, Trust Amendment, Will",YES,,,,
83,§ 732.503,Florida Statute,Self-proving affidavit — acknowledgment + witness affidavits before notary; RON allowed. VERIFIED ✓,"Codicil, HIPAA, Will",YES,,,,
84,§ 732.504,Florida Statute,,Will,,,,,
85,§ 732.505,Florida Statute,,Will,,,,,
86,§ 732.506,Florida Statute,,Will,,,,,
87,§ 732.507,Florida Statute,,"(header), Will",,,,,
88,§ 732.513,Florida Statute,,"(header), HIPAA",,,,,
89,§ 732.515,Florida Statute,,"CRT, HIPAA, Will",,,,,
90,§ 732.5165,Florida Statute,,"(header), Will",,,,,
91,§ 732.517,Florida Statute,,Will,,,,,
92,§ 732.521,Florida Statute,,HIPAA,,,,,
93,§ 732.601,Florida Statute,,"(header), HIPAA, Will",,,,,
94,§ 732.603,Florida Statute,,"(header), Will",,,,,
95,§ 732.605,Florida Statute,,(header),,,,,
96,§ 732.606,Florida Statute,,"(header), Will",,,,,
97,§ 732.609,Florida Statute,,(header),,,,,
98,§ 732.612,Florida Statute,,(header),,,,,
99,§ 732.701,Florida Statute,,HIPAA,,,,,
100,§ 732.702,Florida Statute,,HIPAA,,,,,
101,§ 732.802,Florida Statute,,HIPAA,,,,,
102,§ 732.8095,Florida Statute,,Will,,,,,
103,§ 732.901,Florida Statute,,HIPAA,,,,,
104,§ 733.106,Florida Statute,,Will,,,,,
105,§ 733.202,Florida Statute,,Cert. of Trust,,,,,
106,§ 733.209,Florida Statute,,(header),,,,,
107,§ 733.212,Florida Statute,,HIPAA,,,,,
108,§ 733.2121,Florida Statute,,"Cert. of Trust, HIPAA, Will",,,,,
109,§ 733.301,Florida Statute,,(header),,,,,
110,§ 733.302,Florida Statute,,(header),,,,,
111,§ 733.303,Florida Statute,,(header),,,,,
112,§ 733.304,Florida Statute,,Will,,,,,
113,§ 733.401,Florida Statute,,Will,,,,,
114,§ 733.501,Florida Statute,,Will,,,,,
115,§ 733.504,Florida Statute,,Will,,,,,
116,§ 733.601,Florida Statute,,Will,,,,,
117,§ 733.602,Florida Statute,,Cert. of Trust,,,,,
118,§ 733.604,Florida Statute,,"Cert. of Trust, Will",,,,,
119,§ 733.6065,Florida Statute,,Will,,,,,
120,§ 733.608,Florida Statute,,HIPAA,,,,,
121,§ 733.609,Florida Statute,,Will,,,,,
122,§ 733.612,Florida Statute,,HIPAA,,,,,
123,§ 733.617,Florida Statute,,"HIPAA, Will",,,,,
124,§ 733.6171,Florida Statute,,HIPAA,,,,,
125,§ 733.702,Florida Statute,,"Cert. of Trust, HIPAA, Will",,,,,
126,§ 733.703,Florida Statute,,"HIPAA, Will",,,,,
127,§ 733.705,Florida Statute,,"HIPAA, Will",,,,,
128,§ 733.707,Florida Statute,,Will,,,,,
129,§ 733.710,Florida Statute,,"HIPAA, Will",,,,,
130,§ 733.805,Florida Statute,,Will,,,,,
131,§ 733.808,Florida Statute,,Will,,,,,
132,§ 733.817,Florida Statute,,Will,,,,,
133,§ 735.201,Florida Statute,,"CRT, HIPAA",,,,,
134,§ 736.0103,Florida Statute,,"(header), HIPAA",,,,,
135,§ 736.0108,Florida Statute,,"(header), HIPAA",,,,,
136,§ 736.0207,Florida Statute,,HIPAA,,,,,
137,§ 736.0304,Florida Statute,,HIPAA,,,,,
138,§ 736.0305,Florida Statute,,HIPAA,,,,,
139,§ 736.0401,Florida Statute,,"(header), Cert. of Trust",,,,,
140,§ 736.0402,Florida Statute,,"(header), HIPAA, Will",,,,,
141,§ 736.0403,Florida Statute,Trust execution — testamentary aspects need will formalities; witnesses+notary recommended. VERIFIED ✓,"(header), Gun Trust, HIPAA, Medicaid (MAPT), Special Needs Trust",YES,,,,
142,§ 736.0408,Florida Statute,,"(header), HIPAA",,,,,
143,§ 736.0410,Florida Statute,,HIPAA,,,,,
144,§ 736.0411,Florida Statute,,"(header), HIPAA",,,,,
145,§ 736.04113,Florida Statute,,"(header), Cert. of Trust, HIPAA, Medicaid (MAPT)",,,,,
146,§ 736.04115,Florida Statute,,HIPAA,,,,,
147,§ 736.04117,Florida Statute,,HIPAA,,,,,
148,§ 736.0412,Florida Statute,,HIPAA,,,,,
149,§ 736.0413,Florida Statute,,(header),,,,,
150,§ 736.0414,Florida Statute,,"(header), HIPAA",,,,,
151,§ 736.0415,Florida Statute,,(header),,,,,
152,§ 736.0502,Florida Statute,,"(header), HIPAA, ILIT, Special Needs Trust",,,,,
153,§ 736.0503,Florida Statute,,(header),,,,,
154,§ 736.05031,Florida Statute,,HIPAA,,,,,
155,§ 736.0504,Florida Statute,,"(header), Special Needs Trust",,,,,
156,§ 736.0505,Florida Statute,,"(header), HIPAA, Medicaid (MAPT), Special Needs Trust",,,,,
157,§ 736.05053,Florida Statute,,"Cert. of Trust, HIPAA",,,,,
158,§ 736.05055,Florida Statute,,Cert. of Trust,,,,,
159,§ 736.0507,Florida Statute,,(header),,,,,
160,§ 736.0602,Florida Statute,,"(header), Cert. of Trust, HIPAA, Trust Amendment",,,,,
161,§ 736.0604,Florida Statute,,HIPAA,,,,,
162,§ 736.0701,Florida Statute,,"HIPAA, Trust Amendment",,,,,
163,§ 736.0702,Florida Statute,,HIPAA,,,,,
164,§ 736.0703,Florida Statute,,HIPAA,,,,,
165,§ 736.0705,Florida Statute,,HIPAA,,,,,
166,§ 736.0706,Florida Statute,,(header),,,,,
167,§ 736.0708,Florida Statute,,"Cert. of Trust, HIPAA",,,,,
168,§ 736.0801,Florida Statute,,"(header), Cert. of Trust, HIPAA, Special Needs Trust",,,,,
169,§ 736.0802,Florida Statute,,HIPAA,,,,,
170,§ 736.0803,Florida Statute,,"Cert. of Trust, HIPAA",,,,,
171,§ 736.0804,Florida Statute,,HIPAA,,,,,
172,§ 736.0807,Florida Statute,,"(header), HIPAA",,,,,
173,§ 736.0808,Florida Statute,,HIPAA,,,,,
174,§ 736.0810,Florida Statute,,HIPAA,,,,,
175,§ 736.0811,Florida Statute,,HIPAA,,,,,
176,§ 736.0813,Florida Statute,,"Cert. of Trust, HIPAA",,,,,
177,§ 736.08135,Florida Statute,,"Cert. of Trust, HIPAA",,,,,
178,§ 736.0814,Florida Statute,,(header),,,,,
179,§ 736.0815,Florida Statute,,"(header), HIPAA",,,,,
180,§ 736.0816,Florida Statute,,"(header), Cert. of Trust, HIPAA, Trust Amendment",,,,,
181,§ 736.08165,Florida Statute,,HIPAA,,,,,
182,§ 736.08175,Florida Statute,,(header),,,,,
183,§ 736.0901,Florida Statute,,(header),,,,,
184,§ 736.1001,Florida Statute,,HIPAA,,,,,
185,§ 736.1002,Florida Statute,,Special Needs Trust,,,,,
186,§ 736.1004,Florida Statute,,HIPAA,,,,,
187,§ 736.1008,Florida Statute,,HIPAA,,,,,
188,§ 736.1011,Florida Statute,,HIPAA,,,,,
189,§ 736.1012,Florida Statute,,HIPAA,,,,,
190,§ 736.1017,Florida Statute,,"(header), Cert. of Trust, Lady Bird Deed",,,,,
191,§ 736.1108,Florida Statute,,"(header), HIPAA",,,,,
192,§ 736.1205,Florida Statute,,(header),,,,,
193,§ 738.1041,Florida Statute,,HIPAA,,,,,
194,§ 738.302,Florida Statute,,HIPAA,,,,,
195,§ 739.104,Florida Statute,,"HIPAA, Will",,,,,
196,§ 740.001,Florida Statute,,"(header), CRT, Will",,,,,
197,§ 740.002,Florida Statute,,"(header), Cert. of Trust, HIPAA, POA, Will",,,,,
198,§ 744.301,Florida Statute,,Trust Amendment,,,,,
199,§ 744.3021,Florida Statute,,Will,,,,,
200,§ 744.3031,Florida Statute,,HIPAA,,,,,
201,§ 744.3045,Florida Statute,,"(header), HIPAA",,,,,
202,§ 744.3085,Florida Statute,,Trust Amendment,,,,,
203,§ 744.312,Florida Statute,,(header),,,,,
204,§ 765.101,Florida Statute,,"(header), HC Surrogate, Living Will, POA",,,,,
205,§ 765.104,Florida Statute,,"HIPAA, Living Will",,,,,
206,§ 765.202,Florida Statute,"Health care surrogate — 2 witnesses, ≥1 not spouse/blood relative; surrogate may not witness. VERIFIED ✓",HIPAA,YES,,,,
207,§ 765.2025,Florida Statute,,"HIPAA, Living Will",,,,,
208,§ 765.203,Florida Statute,,(header),,,,,
209,§ 765.204,Florida Statute,,HIPAA,,,,,
210,§ 765.205,Florida Statute,,"HC Surrogate, HIPAA",,,,,
211,§ 765.301,Florida Statute,,"(header), HIPAA, Living Will",,,,,
212,§ 765.302,Florida Statute,"Living will — 2 witnesses, ≥1 not spouse/blood relative. VERIFIED ✓",Living Will,YES,,,,
213,§ 765.502,Florida Statute,,"HIPAA, Living Will",,,,,
214,§ 765.510,Florida Statute,,Will,,,,,
215,§ 765.511,Florida Statute,,Living Will,,,,,
216,§ 765.512,Florida Statute,,"HIPAA, Living Will",,,,,
217,§ 823.14,Florida Statute,,HIPAA,,,,,
218,§ 1009.986,Florida Statute,,Special Needs Trust,,,,,
219,§ 1.401,Treasury Reg (26 CFR) — federal tax,,"(header), HIPAA",,,,,
220,§ 1.664,Treasury Reg (26 CFR) — federal tax,,CRT,,,,,
221,§ 1.677,Treasury Reg (26 CFR) — federal tax,,Medicaid (MAPT),,,,,
222,§ 1.704,Treasury Reg (26 CFR) — federal tax,,CRT,,,,,
223,§ 1.897,Treasury Reg (26 CFR) — federal tax,,HIPAA,,,,,
224,§ 2.04,Federal,,CRT,,,,,
225,§ 20.2031,Treasury Reg (26 CFR) — federal tax,,CRT,,,,,
226,§ 20.2041,Treasury Reg (26 CFR) — federal tax,,HIPAA,,,,,
227,§ 20.2042,Treasury Reg (26 CFR) — federal tax,,ILIT,,,,,
228,§ 20.2101,Treasury Reg (26 CFR) — federal tax,,HIPAA,,,,,
229,§ 25.2512,Treasury Reg (26 CFR) — federal tax,,CRT,,,,,
230,§ 164.508,HIPAA (45 CFR) — federal,,HIPAA,,,,,
231,§ 164.510,HIPAA (45 CFR) — federal,,HIPAA,,,,,
232,§ 416.1130,SSI (20 CFR) — federal,,Special Needs Trust,,,,,
233,§ 416.1201,SSI (20 CFR) — federal,,Special Needs Trust,,,,,
234,§ 416.1205,SSI (20 CFR) — federal,,Special Needs Trust,,,,,
235,§ 416.1207,SSI (20 CFR) — federal,,Special Needs Trust,,,,,
236,§ 1026.2,Reg Z (12 CFR) — federal,,Deed,,,,,
237,§ 20.2056A,Treasury Reg (26 CFR) — federal tax,,"(header), HIPAA",,,,,
238,§ 1.170A,Treasury Reg (26 CFR) — federal tax,,CRT,,,,,
